_id,Airline,Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Arrival_min
66c8625c1f6f777dbd0db918,IndiGo,Kolkata,Banglore,CCU ? NAG ? BLR,325,1,No info,6218.0,12,5,18,5,23,30
66c8625c1f6f777dbd0db930,GoAir,Delhi,Cochin,DEL ? BOM ? COK,355,1,No info,7682.0,15,5,7,0,12,55
66c8625c1f6f777dbd0db916,Air India,Kolkata,Banglore,CCU ? IXR ? BBI ? BLR,445,2,No info,7662.0,1,5,5,50,13,15
66c8625c1f6f777dbd0db944,Air India,Chennai,Kolkata,MAA ? CCU,135,0,No info,4667.0,3,5,11,40,13,55
66c8625c1f6f777dbd0db91a,SpiceJet,Kolkata,Banglore,CCU ? BLR,145,0,No info,3873.0,24,6,9,0,11,25
66c8625c1f6f777dbd0db94b,Air Asia,Banglore,Delhi,BLR ? DEL,170,0,No info,4483.0,3,4,23,55,2,45
66c8625c1f6f777dbd0db922,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,730,1,In-flight meal not included,9663.0,9,5,21,10,9,20
66c8625c1f6f777dbd0db937,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,330,1,In-flight meal not included,12373.0,18,5,7,5,12,35
66c8625c1f6f777dbd0db947,Jet Airways,Delhi,Cochin,DEL ? COK,195,0,In-flight meal not included,7202.0,9,3,11,0,14,15
66c8625c1f6f777dbd0db94d,Air India,Banglore,New Delhi,BLR ? BOM ? AMD ? DEL,905,2,No info,17345.0,1,3,8,50,23,55
66c8625c1f6f777dbd0db92c,IndiGo,Banglore,Delhi,BLR ? DEL,175,0,No info,4823.0,1,5,18,55,21,50
66c8625c1f6f777dbd0db932,Vistara,Chennai,Kolkata,MAA ? CCU,135,0,No info,3687.0,15,6,7,5,9,20
66c8625c1f6f777dbd0db943,IndiGo,Banglore,Delhi,BLR ? DEL,170,0,No info,3943.0,27,5,4,0,6,50
66c8625c1f6f777dbd0db949,IndiGo,Banglore,New Delhi,BLR ? DEL,170,0,No info,4377.0,24,3,22,20,1,10
66c8625c1f6f777dbd0db931,Vistara,Banglore,Delhi,BLR ? DEL,170,0,No info,4668.0,18,6,9,45,12,35
66c8625c1f6f777dbd0db939,SpiceJet,Kolkata,Banglore,CCU ? MAA ? BLR,315,1,No info,4649.0,21,5,15,5,20,20
66c8625c1f6f777dbd0db93a,Air India,Kolkata,Banglore,CCU ? BLR,150,0,No info,6245.0,18,5,14,15,16,45
66c8625c1f6f777dbd0db946,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,1195,2,In-flight meal not included,11150.0,27,6,23,5,19,0
66c8625c1f6f777dbd0db952,Air India,Delhi,Cochin,DEL ? MAA ? COK,1640,1,No info,5117.0,3,4,6,5,9,25
66c8625c1f6f777dbd0db925,SpiceJet,Delhi,Cochin,DEL ? PNQ ? COK,270,1,No info,5830.0,15,4,8,45,13,15
66c8625c1f6f777dbd0db92a,Air India,Banglore,New Delhi,BLR ? COK ? DEL,920,1,No info,6955.0,21,3,22,0,13,20
66c8625c1f6f777dbd0db920,IndiGo,Kolkata,Banglore,CCU ? BLR,155,0,No info,4174.0,18,4,20,20,22,55
66c8625c1f6f777dbd0db91c,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1265,1,No info,22270.0,1,3,8,0,5,5
66c8625c1f6f777dbd0db93f,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1325,1,In-flight meal not included,12373.0,18,5,20,55,19,0
66c8625c1f6f777dbd0db94a,IndiGo,Banglore,Delhi,BLR ? DEL,180,0,No info,3943.0,18,6,21,15,0,15
66c8625c1f6f777dbd0db93c,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,715,1,No info,14924.0,3,6,7,5,19,0
66c8625c1f6f777dbd0db93d,Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,665,1,No info,9646.0,21,5,7,5,18,10
66c8625c1f6f777dbd0db915,IndiGo,Banglore,New Delhi,BLR ? DEL,170,0,No info,3897.0,24,3,22,20,1,10
66c8625c1f6f777dbd0db919,IndiGo,Banglore,New Delhi,BLR ? NAG ? DEL,285,1,No info,13302.0,1,3,16,50,21,35
66c8625c1f6f777dbd0db929,GoAir,Delhi,Cochin,DEL ? BOM ? COK,310,1,No info,19495.0,6,3,14,10,19,20
