_id,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
66c8625e1f6f777dbd0dc0fa,Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,18:00 07 May,25h,1 stop,In-flight meal not included,9314.0
66c862631f6f777dbd0de290,IndiGo,27/04/2019,Delhi,Cochin,DEL ? LKO ? COK,21:50,03:35 28 Apr,5h 45m,1 stop,No info,6307.0
66c862651f6f777dbd0dea87,Air India,6/05/2019,Kolkata,Banglore,CCU ? DEL ? COK ? BLR,07:00,01:20 07 May,18h 20m,2 stops,No info,
66c862601f6f777dbd0dcf19,Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,22:55,12:25 13 Mar,13h 30m,1 stop,In-flight meal not included,11087.0
66c862621f6f777dbd0ddc0b,Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,18:10 25 Mar,23h 15m,1 stop,In-flight meal not included,11134.0
66c862641f6f777dbd0de707,Jet Airways,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,18:15,04:25 07 Jun,10h 10m,1 stop,No info,
66c8625c1f6f777dbd0db9b3,Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,18:15 13 May,25h 45m,1 stop,In-flight meal not included,10844.0
66c862651f6f777dbd0de7f7,Air India,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,20:00,07:40 16 Jun,11h 40m,1 stop,No info,
66c862631f6f777dbd0ddf2d,Jet Airways,6/04/2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,19:00,7h 30m,1 stop,In-flight meal not included,5177.0
66c8625d1f6f777dbd0dc027,IndiGo,9/03/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,21:00,13h 30m,1 stop,No info,12351.0
66c862611f6f777dbd0dd098,SpiceJet,18/05/2019,Kolkata,Banglore,CCU ? KNU ? BLR,11:35,18:50,7h 15m,1 stop,No info,8479.0
66c862631f6f777dbd0ddcc3,Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,08:15 19 May,23h 50m,1 stop,In-flight meal not included,9663.0
66c862611f6f777dbd0dd30e,IndiGo,3/03/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,21:00,13h 30m,1 stop,No info,14871.0
66c862651f6f777dbd0de9f5,Air Asia,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,22:40,10:40 25 May,12h,1 stop,No info,
66c8625f1f6f777dbd0dc4d3,Jet Airways,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,19:00,6h,1 stop,In-flight meal not included,10262.0
66c8625e1f6f777dbd0dc220,Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? HYD ? COK,07:10,22:30,15h 20m,1 stop,No info,7740.0
66c862631f6f777dbd0de3f6,Jet Airways,12/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,04:25 13 Jun,22h 55m,2 stops,No info,
66c862601f6f777dbd0dcfee,Vistara,6/03/2019,Mumbai,Hyderabad,BOM ? DEL ? HYD,07:30,09:25 07 Mar,25h 55m,1 stop,No info,12395.0
66c862631f6f777dbd0dde4f,Jet Airways,9/05/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,04:25 11 May,29h 20m,2 stops,No info,15129.0
66c862631f6f777dbd0de337,Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,06:40,19:00,12h 20m,1 stop,No info,
66c862631f6f777dbd0ddc77,SpiceJet,27/03/2019,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,non-stop,No check-in baggage included,3332.0
66c8625e1f6f777dbd0dc228,IndiGo,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,01:30 13 Jun,8h,1 stop,No info,6104.0
66c862621f6f777dbd0dd808,Air India,18/05/2019,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,18:30 19 May,30h 30m,2 stops,No info,10361.0
66c862651f6f777dbd0deb74,Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,18:00 13 May,25h,1 stop,No info,
66c862631f6f777dbd0de321,Vistara,9/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,09:05 10 Jun,16h 5m,1 stop,No info,
66c8625f1f6f777dbd0dc6b3,IndiGo,12/06/2019,Kolkata,Banglore,CCU ? PAT ? BLR,09:20,14:15,4h 55m,1 stop,No info,11160.0
66c862621f6f777dbd0dd8ad,Jet Airways,6/05/2019,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,non-stop,No info,8040.0
